Cycle	11350 mV	11300 mV	11250 mV	11200 mV	11150 mV	11100 mV	11050 mV	11000 mV	10950 mV	10900 mV	10850 mV	10800 mV	DCHG Capacity	CHG Capacity
1	630	1335	2115	3000	3900	4695	5370	5865	6300	7110	7485	7620	2118.300049	2145.283447	
2	630	1335	2130	3000	3885	4665	5340	5850	6270	7110	7455	7590	2115.537598	2129.779053	
3	645	1350	2130	3000	3900	4665	5340	5835	6270	7095	7440	7575	2113.891602	2121.425049	
4	645	1350	2130	3000	3885	4650	5325	5820	6240	7095	7425	7560	2111.541748	2126.199951	
5	645	1365	2130	3015	3885	4635	5325	5820	6240	7080	7425	7560	2108.000000	2121.699951	
6	630	1350	2130	3000	3870	4620	5310	5790	6225	7065	7410	7545	2107.920898	2113.179199	
7	645	1350	2145	3000	3870	4620	5295	5790	6225	7065	7395	7530	2109.462402	2122.149902	
8
9	630	1335	2130	2985	3840	4590	5265	5760	6195	7035	7365	7515	2105.699951	2116.133301	
10	630	1350	2130	2985	3840	4590	5280	5760	6195	7035	7365	7500	2106.016602	2112.683350	
11	630	1335	2115	2985	3840	4590	5250	5745	6180	7035	7365	7500	2106.145752	2118.595947	
12	630	1335	2115	2970	3825	4575	5250	5745	6165	7020	7350	7485	2102.112549	2111.191650	
13	630	1335	2115	2985	3810	4560	5235	5730	6165	7005	7335	7470	2100.562500	2112.254150	
14	645	1350	2130	2985	3810	4560	5235	5730	6150	7005	7335	7470	2104.145752	2110.654053	
15	645	1350	2130	2985	3825	4560	5250	5730	6165	7005	7335	7470	2102.370850	2110.183350	
16	630	1335	2115	2970	3810	4545	5220	5715	6135	6990	7320	7455	2100.654053	2107.570801	
17	645	1350	2115	2985	3795	4545	5220	5715	6150	6990	7320	7455	2100.433350	2107.591553	
18	630	1335	2115	2970	3795	4530	5205	5700	6135	6975	7305	7440	2098.795898	2108.491699	
19	645	1350	2115	2970	3795	4530	5205	5700	6120	6975	7305	7440	2098.570801	2109.279053	
20	630	1335	2115	2970	3780	4515	5190	5685	6120	6975	7305	7440	2096.475098	2107.816650	
21	645	1350	2130	2970	3795	4530	5205	5700	6120	6975	7305	7440	2096.612549	2099.195801	
22	630	1335	2115	2970	3780	4515	5190	5685	6105	6960	7290	7425	2096.012451	2098.691650	
23	630	1335	2115	2955	3780	4500	5190	5670	6105	6960	7290	7425	2092.270752	2101.904053	
24	630	1335	2100	2940	3750	4470	5160	5655	6090	6930	7275	7410	2093.345947	2098.754150	
25	630	1335	2115	2955	3750	4485	5160	5655	6075	6930	7275	7410	2093.220947	2099.258301	
26	630	1335	2100	2940	3750	4470	5145	5640	6075	6915	7260	7395	2093.524902	2098.524902	
27	630	1335	2100	2955	3750	4470	5160	5655	6075	6930	7260	7410	2091.608398	2101.545898	
28	630	1335	2100	2940	3750	4470	5145	5655	6060	6915	7260	7395	2091.487549	2101.729248	
29	630	1335	2100	2940	3750	4470	5145	5640	6075	6915	7260	7395	2089.162598	2091.550049	
30	630	1335	2115	2940	3735	4455	5130	5625	6060	6900	7245	7380	2091.300049	2096.354248	
31	615	1335	2085	2925	3720	4455	5130	5625	6045	6900	7230	7380	2089.720947	2101.154053	
32	630	1335	2100	2940	3735	4455	5130	5625	6045	6900	7245	7380	2089.204102	2101.149902	
33	645	1335	2085	2910	3720	4440	5115	5610	6045	6885	7230	7365	2088.145752	2091.774902	
34	645	1335	2100	2940	3720	4440	5115	5625	6045	6885	7245	7380	2087.545898	2098.408447	
35	630	1320	2085	2910	3705	4425	5100	5595	6030	6870	7230	7365	2087.358398	2090.537598	
36	630	1320	2085	2925	3705	4425	5100	5595	6030	6870	7215	7350	2084.491699	2090.058350	
37	630	1320	2085	2925	3720	4440	5115	5595	6030	6870	7230	7365	2086.333252	2099.300049	
38	630	1320	2085	2910	3705	4410	5085	5595	6015	6855	7215	7350	2086.441650	2094.012451	
39	630	1320	2085	2925	3705	4410	5100	5595	6015	6855	7215	7350	2084.808350	2095.729248	
40	630	1320	2085	2910	3705	4410	5100	5595	6015	6870	7215	7350	2082.758301	2097.958252	
41	630	1320	2085	2895	3705	4395	5070	5580	6000	6840	7200	7335	2081.420898	2093.879150	
42	630	1320	2085	2910	3690	4395	5085	5580	6000	6840	7200	7350	2085.862549	2087.175049	
43	630	1320	2085	2910	3690	4395	5085	5580	6015	6855	7200	7350	2081.458252	2095.875000	
44	630	1320	2085	2910	3690	4395	5070	5565	5985	6825	7200	7335	2081.258301	2086.604248	
45	630	1320	2070	2895	3675	4380	5070	5565	6000	6825	7185	7335	2079.162598	2084.562500	
46	630	1335	2085	2895	3675	4380	5055	5565	5985	6825	7185	7335	2081.250000	2086.383301	
47	615	1305	2070	2880	3675	4380	5055	5550	5985	6810	7185	7320	2079.579102	2085.616699	
48	630	1335	2085	2895	3675	4380	5055	5565	5985	6810	7185	7335	2079.391602	2085.083252	
49	615	1320	2055	2880	3660	4365	5040	5535	5970	6795	7170	7305	2077.745850	2084.512451	
50	630	1320	2070	2880	3675	4365	5040	5550	5970	6795	7170	7320	2079.574951	2084.570801	
51	630	1320	2070	2895	3660	4380	5040	5550	5970	6810	7170	7320	2077.870850	2087.033447	
52	630	1320	2070	2880	3660	4365	5040	5535	5970	6795	7170	7320	2079.524902	2091.795898	
53	630	1320	2070	2880	3645	4350	5040	5535	5970	6780	7170	7305	2076.083252	2087.445801	
54	630	1305	2070	2865	3645	4350	5025	5520	5955	6780	7155	7305	2075.949951	2079.008301	
55	645	1320	2070	2880	3660	4350	5040	5535	5955	6795	7170	7320	2075.991699	2086.887451	
56	630	1320	2070	2880	3660	4350	5040	5535	5955	6795	7170	7320	2074.395752	2084.579102	
57	615	1305	2055	2865	3645	4335	5025	5520	5940	6780	7155	7305	2074.399902	2075.504150	
58	630	1305	2070	2865	3645	4335	5010	5520	5940	6765	7140	7290	2072.591553	2076.995850	
59	630	1320	2055	2865	3645	4335	5025	5520	5940	6765	7155	7305	2072.858398	2076.766602	
60	615	1320	2070	2865	3645	4335	5010	5520	5940	6765	7140	7290	2072.708252	2086.045898	
61	615	1320	2055	2850	3645	4320	5010	5505	5940	6750	7140	7290	2071.158447	2083.987549	
62	630	1305	2070	2865	3630	4320	4995	5505	5925	6750	7140	7290	2071.083252	2082.583252	
63	630	1320	2070	2865	3645	4320	5010	5505	5940	6750	7155	7290	2072.154053	2081.562500	
64	630	1305	2055	2850	3630	4320	4995	5505	5925	6735	7140	7290	2069.679199	2082.945801	
65	615	1305	2055	2850	3615	4305	4995	5490	5925	6735	7125	7275	2069.037598	2085.683350	
66	630	1305	2055	2850	3615	4320	4995	5505	5925	6735	7140	7290	2069.616699	2078.250000	
67	615	1305	2040	2850	3615	4305	4980	5490	5910	6720	7125	7275	2071.633301	2081.654053	
68	630	1305	2055	2850	3630	4305	4995	5505	5925	6735	7125	7290	2067.954102	2081.212402	
69	630	1320	2055	2865	3630	4305	4995	5490	5925	6735	7125	7275	2067.862549	2073.237549	
70	615	1305	2055	2850	3615	4290	4980	5490	5910	6720	7125	7275	2066.187500	2075.154053	
71	615	1290	2040	2820	3600	4290	4965	5475	5895	6705	7110	7260	2067.712402	2072.375000	
72	630	1305	2040	2835	3615	4290	4980	5475	5895	6720	7110	7260	2065.616699	2072.399902	
73	615	1305	2040	2835	3600	4290	4965	5475	5895	6705	7110	7260	2063.845947	2069.383301	
74	615	1305	2055	2850	3615	4290	4965	5475	5910	6705	7110	7275	2065.824951	2071.066650	
75	630	1305	2055	2850	3600	4290	4965	5475	5895	6705	7110	7260	2064.533447	2075.995850	
76	615	1305	2040	2820	3600	4275	4965	5460	5895	6690	7110	7260	2066.170898	2068.266602	
77	615	1305	2040	2835	3600	4275	4965	5460	5895	6690	7110	7260	2062.641602	2073.083252	
78	630	1290	2040	2835	3600	4275	4950	5460	5880	6675	7095	7245	2062.104248	2069.008301	
79	615	1305	2040	2820	3585	4275	4950	5460	5880	6690	7095	7245	2060.625000	2066.600098	
80	630	1305	2040	2835	3585	4275	4950	5460	5880	6675	7110	7260	2064.645752	2066.866699	
81	630	1320	2040	2850	3600	4275	4950	5475	5895	6690	7110	7260	2062.991699	2077.470947	
82	630	1305	2055	2820	3600	4275	4950	5460	5895	6675	7110	7260	2060.708252	2069.829102	
83	615	1305	2040	2835	3585	4260	4935	5445	5880	6660	7095	7245	2059.183350	2067.954102	
84	615	1305	2040	2805	3570	4260	4935	5445	5865	6660	7080	7245	2044.329224	2047.808350	
