Cycle	11350 mV	11300 mV	11250 mV	11200 mV	11150 mV	11100 mV	11050 mV	11000 mV	10950 mV	10900 mV	10850 mV	10800 mV	
400	795	1695	2700	3870	5325	7020	8250	9105	9795	10335	10740	11085	
401	765	1650	2700	3855	5355	7050	8250	9120	9810	10320	10740	11085	
402	750	1620	2655	3855	5355	7005	8175	9075	9735	10260	10695	11055	
403	795	1680	2715	3885	5355	7020	8190	9105	9780	10305	10740	11100	
404	810	1665	2670	3840	5295	7005	8190	9075	9750	10290	10710	11055	
405	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
406	795	1665	2655	3825	5250	6945	8175	9075	9750	10305	10710	11070	
407	780	1665	2685	3855	5280	6945	8175	9075	9765	10320	10740	11100	
408	765	1650	2655	3795	5295	6975	8205	9090	9780	10305	10740	11100	
409	765	1665	2685	3840	5280	6975	8160	9045	9735	10290	10710	11070	
410	765	1665	2670	3825	5295	6930	8145	9060	9735	10260	10680	11040	
411	795	1665	2670	3825	5295	6915	8145	9045	9720	10275	10695	11055	
412	765	1650	2670	3855	5265	6975	8190	9075	9750	10290	10710	11070	
413	780	1650	2700	3840	5280	6960	8160	9060	9735	10290	10710	11055	
414	765	1650	2670	3825	5265	6900	8145	9030	9720	10275	10695	11055	
415	750	1650	2655	3825	5250	6945	8160	9060	9750	10260	10725	11040	
416	780	1665	2685	3855	5280	6960	8190	9075	9735	10275	10710	11055	
417	765	1650	2670	3810	5250	6870	8130	9015	9720	10260	10695	11055	
418	765	1635	2640	3795	5265	6930	8130	9030	9720	10260	10695	11040	
419	780	1650	2685	3810	5250	6915	8130	9030	9735	10275	10695	11055	
420	765	1650	2670	3825	5295	6915	8175	9075	9735	10290	10695	11055	
